fullname	id	prev_id	alt_names		comment
Bodel Nijenhuis, J.T.	0000000082144016	0000000082144016	B.N, J.T.Bodel Nijenhuis, J. T.Bodel Nijenhuis, Jan T.Bodel Nijenhuis, Jan TiberiusBodel Nijenhuis, Johannes T.Bodel Nijenhuis, Johannes TiberiusBodel Nyenhuis, J. T.Bodel Nyenhuis, Jan T.Bodel Nyenhuis, Jan TiberiusBodel Nyenhuis, Johannes T.Bodel Nyenhuis, Johannes TiberiusJ.T.B.NJohannes Bodel NijenhuisJohannes Bodel Nijenhuis (Dutch publisher)Johannes Bodel Nijenhuis (Nederlands uitgever (1797-1872))Nijenhuis, J. T.Nijenhuis, J. T. BodelNijenhuis, Jan T.Nijenhuis, Johannes T.Nijenhuis, Johannes Tiberius BodelNyenhuis, J. T.Nyenhuis, J... T... BodelNyenhuis, Jan T.Nyenhuis, Johannes T.Nyenhuis, Johannes Tiberius Bodel-	VIAF ID: 7740287 (van der Aa) =A 0000000108677428 =2 isni (van der Aa); VIAF ID: 47161760302021641340 (van Hardewijk); VIAF ID: 24955037 (Schotel) =A 0000000118447351 =2 isni (Schotel)	
Boelhouwer, M.	00000BoelhouwerM	00000BoelhouwerM	Boelhouwer, M. (transcribeert dagboeken de Clercq)	VIAF ID: 57416265 (van Gool) =A 0000000121345524 =2 isni (van Gool)	transcribeert mede het Dagboek van Willem de Clercq 1811-1844
Boer, D.E.H. de	0000000110781099	0000000110781099	Boer, D. E. H. deBoer, D.E.H. de (mediaevist)Boer, Dick deBoer, Dick E. deBoer, Dick E. H. deBoer, Dick Edward Herman de,Boer, Dick Edward Herman (mediaevist)De Boer, D. E. H.De Boer, DickDe Boer, Dick E. H.De Boer, Dick Edward Hermande Boer, Dick Edward Herman (Historicus)Dick de BoerDick de Boer (Dutch historian)Dick de Boer (historicus)	VIAF ID: 76672202 (van Eijnden) =A 0000000081573492 =2 isni (van Eijnden); VIAF ID: 7567126 (van der Willigen) =A 0000000032439908 =2 isni (van der Willigen)	
Boer, M.G. de	0000000038443449	0000000038443449	Boer, M. G. de;Boer, Michael Georg;Boer, Michael Georg de,;Boer, Michiel George de;De Boer, M. G.	VIAF ID: 52045142 (Glasius) =A 0000000002178946 =2 isni (Glasius)	
Boerkamp-Ruchtie, M.Y.N.	0000000002597120	0000000002597120	Boerkamp-Ruchtie, M. Y. N.Ruchtie, M. Y. N. Boerkamp-	VIAF ID: 286562936 (Maton); VIAF ID: 88063661 (Waterschoot); VIAF ID: 51851407 (Rombaut)	
Boersma, O.	0000000066298883	0000000066298883	Boersma, O.;Boersma, Owe	VIAF ID: 47696930 (Molhuysen) =A 0000000110262969 =2 isni (Molhuysen); VIAF ID: 817419 (Blok) =A 0000000120196336 =2 isni (Blok); VIAF ID: 116760495 (Knappert) =A 0000000448892802 =2 isni (Knappert); VIAF ID: 115598780 (Kossmann) =A 0000000083222813 =2 isni (Kossmann)	
Boetzelaer van Asperen en Dubbeldam, C.W.Th. van	0000000093744375	0000000093744375	Asperen en Dubbeldam, C. W. Th. van Boetzelaer vanAsperen en Dubbeldam, Carel Wessel Theodorus van Boetzelaer vanBoetzelaer, C. W. Th. vanBoetzelaer van Asperen en Dubbeldam, C. W. Th. vanBoetzelaer van Asperen en Dubbeldam, Carel Wessel TheodorusBoetzelaer van Asperen en Dubbeldam, Carel Wessel Theodorus, (baron van,)Boetzelaer van Asperen en Dubbeldam, Carel Wessel Theodorus vanBoetzelaer van Dubbeldam, C. W. Th. vanBoetzelaer van Dubbeldam, Carel Wessel Theodorus, (baron van,)Boetzelaer van Dubbeldam, Carel Wessel Theodorus vanCarel Wessel Theodorus van Boetzelaer van DubbeldamCarel Wessel Theodorus van Boetzelaer van Dubbeldam (Nederlands politicus (1873-1956))Dubbeldam, C. W. Th. van Boetzelaer vanDubbeldam, C. W. Th. van Boetzelaer van Asperen en		
Bolkestein, H.	0000000108677524	0000000108677524	Bolkestein, H.;Bolkestein, Hendrik;Bolkestein, Henricus;Hendrik Bolkestein		
Boogman, J.C.	0000000080934866	0000000080934866	Boogman, J. C.Boogman, Johan Christiaan	VIAF ID: 229686621 (Charite) =A 0000000083845017 =2 isni (Charite); VIAF ID: 34554072 (Gabriels) =A 0000000000219177 =2 isni (Gabriels)	
Boot, P.	0000000121248361	0000000121248361	Boot, Peter;Boot, P.;Peter Boot	VIAF ID: 107630554 (Alberts) =A 0000000078548296 =2 isni (Alberts); VIAF ID: 2760679 (Beckers) =A 0000000034642184 =2 isni (Beckers); VIAF ID: 283782908 (Kruger) =A 0000000390248001 =2 isni (Kruger)	
Bornewasser, J.A.	0000000115794163	0000000115794163	Bornewasser, H.Bornewasser, HansBornewasser, Hans AntonBornewasser, J. A.Bornewasser, J.A. (kerkhistoricus)Bornewasser, Johannes AntonBornewasser, Johannes AntoniusBornewasser, Johannes Antonius (kerkhistoricus)	VIAF ID: 2571373 (Kloek) =A 0000000080821036 =2 isni (Kloek)	
Bos, Th.S.H.	0000000042587787	0000000042587787	Bos, T.Bos, Th. S. H.Bos, TheoBos, Thomas S. H.Bos, Thomas Siemen HendrikBos, Tom	VIAF ID: 100171085 (Bartholomaeus) =A 0000000013354343 =2 isni (Bartholomaeus)	
